id,name,original_price,discount_price,image,rating,description,category,total_reviews,total_likes,total_orders,is_disabled,images,restaurant,is_liked
0003d998-e2bf-4bab-89e5-ae2f009533ff,Pho protect official,98.63,12.18,http://127.0.0.1:8000/images/food/pho/250861.jpg,3.2,Cell both recent item would clearly. Us compare professor employee blood protect discover. So must talk most animal camera live. Of similar age recently break worker region.,"{'id': 'fa3850f1-a668-4628-b3a9-335b00f9abc4', 'name': 'Pho', 'description': 'questionAlong month above similar.\nPut draw end best moment different technology. Expert staff occur after. Write low together with yard.', 'created_at': '2024-11-16T21:22:38.703868+07:00', 'updated_at': '2024-11-16T21:22:38.703868+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/pho.png'}",16,31,79,False,[],2396206c-a8fb-4561-8f3f-dc613bab336f,False
000e5ebc-1d00-43dd-b7ec-a27e30c87653,Rice health standard,29.39,9.86,http://127.0.0.1:8000/images/food/rice/554287.jpg,2.5,Upon before avoid personal human try study. Stand show I kind lose work painting receive. Attack hit that team debate environmental.,"{'id': '9c4f74e1-5ee7-43c1-816a-87a67739d7ce', 'name': 'Rice', 'description': 'growNotice argue charge. Wide business partner two fish. Simple ago health.\nNewspaper condition college grow challenge my week. Section threat major yard.', 'created_at': '2024-11-16T21:22:38.703868+07:00', 'updated_at': '2024-11-16T21:22:38.703868+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/rice.png'}",13,41,63,False,[],2c0330dc-8bc4-4c9f-968e-10df13bb3844,False
004cbebb-5e78-4174-92b4-8dc8e3ef2be5,Pizza tax letter,15.86,33.59,http://127.0.0.1:8000/images/food/pizza/1571074.jpg,2.6,"Must bill sea final state participant wrong. Voice stop present nor size leader avoid well. Understand test ahead yet.
Describe despite vote. Especially whose area sure much within call daughter.","{'id': 'd64b7327-08ed-4366-89d7-4f2cb2b9bb8e', 'name': 'Pizza', 'description': 'fiveBig worker eight. Already approach institution high rather. As send continue military adult likely. Report miss deep raise call cost our.', 'created_at': '2024-11-16T21:22:38.688244+07:00', 'updated_at': '2024-11-16T21:22:38.688244+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/pizza.png'}",15,40,73,False,[],4753c4c9-4512-471c-87e5-c980e92663e0,False
006c16e6-b7e7-45a2-8bb9-6accd930e217,Pasta east my,78.24,12.67,http://127.0.0.1:8000/images/food/pasta/944490.jpg,2.7,Trip so help present skin nice smile smile. Only information quickly feel dog. Production night both occur. Vote often little into team another guess behind.,"{'id': 'ec3c7366-2467-4da5-85cf-0fa337241bf8', 'name': 'Pasta', 'description': 'nowActually watch yeah report huge ability. Quickly century marriage never material.\nHuge see nature college grow issue new. Explain fear clearly either. Benefit apply physical spring.', 'created_at': '2024-11-16T21:22:38.703868+07:00', 'updated_at': '2024-11-16T21:22:38.703868+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/pasta.png'}",14,12,67,False,[],3bd04216-1146-4219-a1ca-8eb0c6f76a9c,False
007cd656-a676-4428-aa6b-9eff964a16c3,Goi Cuon apply wear,30.11,14.65,http://127.0.0.1:8000/images/food/goi_cuon/2743835.jpg,3.6,"Gun unit ask girl. Hotel individual check organization quickly it. Sure number heart ok mission site only.
Recently occur report. Score alone imagine pay hot. Finish street parent benefit.","{'id': '7904988d-a987-4fc7-8e5f-56f2b91afe0c', 'name': 'Goi Cuon', 'description': 'hereInclude scientist race how one either lawyer. Image exist identify if nothing successful. Step early nation assume.\nArt entire information. Return outside impact.', 'created_at': '2024-11-16T21:22:38.719489+07:00', 'updated_at': '2024-11-16T21:22:38.719489+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/goi_cuon.png'}",10,49,49,False,[],2396206c-a8fb-4561-8f3f-dc613bab336f,False
00ac523f-ed50-4968-b616-2b927e070daf,Pho consumer approach,80.33,31.39,http://127.0.0.1:8000/images/food/pho/13725.jpg,3.3,Bill approach before economy trade card. Industry responsibility blue religious attack project subject. Career term people box next.,"{'id': 'fa3850f1-a668-4628-b3a9-335b00f9abc4', 'name': 'Pho', 'description': 'questionAlong month above similar.\nPut draw end best moment different technology. Expert staff occur after. Write low together with yard.', 'created_at': '2024-11-16T21:22:38.703868+07:00', 'updated_at': '2024-11-16T21:22:38.703868+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/pho.png'}",12,40,59,False,[],2c0330dc-8bc4-4c9f-968e-10df13bb3844,False
00f1a2ba-5663-4382-b0ab-4ef7a4078d51,Burger mother skin,73.49,14.70,http://127.0.0.1:8000/images/food/burger/555211.jpg,2.7,"Stage again all democratic.
Since field marriage tax matter. Training woman money whatever agree bad quickly. Major kitchen national occur finally own.","{'id': 'dc421162-4b40-451a-a6b1-34d96b5a06bf', 'name': 'Burger', 'description': 'littleRealize big thank option.\nUpon home often of.\nThank red staff listen article. Eat run parent expert camera forget. Increase response item occur do author.', 'created_at': '2024-11-16T21:22:38.688244+07:00', 'updated_at': '2024-11-16T21:22:38.688244+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/burger.png'}",18,43,83,False,[],a7204fb1-7170-4b53-8a1a-70b0c7b63df8,False
0118f494-98b6-4a5f-9e84-11ea611253b7,Rice but piece,77.07,8.36,http://127.0.0.1:8000/images/food/rice/2407861.jpg,2.8,Culture lay research. Republican wear or mention the out our. Against daughter discover blue message perform.,"{'id': '9c4f74e1-5ee7-43c1-816a-87a67739d7ce', 'name': 'Rice', 'description': 'growNotice argue charge. Wide business partner two fish. Simple ago health.\nNewspaper condition college grow challenge my week. Section threat major yard.', 'created_at': '2024-11-16T21:22:38.703868+07:00', 'updated_at': '2024-11-16T21:22:38.703868+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/rice.png'}",9,23,43,False,[],1eea41f7-46a7-4535-9eef-91ae9ea051e2,False
014c86cd-06f4-4ff2-8374-50ec99420c84,Salad dinner another,29.58,41.71,http://127.0.0.1:8000/images/food/salad/3419079.jpg,2.3,"Campaign now big west hour suffer wish. Air college cell against generation. Hard how news dog challenge. Pass over site whom model rest include.
Every they human.","{'id': 'b6c935ae-beeb-4adc-87a9-bb3aa397d09c', 'name': 'Salad', 'description': 'agreeChair whole try sure personal. Fill run scene involve.\nEverything media phone morning north choice. Loss away next surface class leave. Continue address military office according leader box.', 'created_at': '2024-11-16T21:22:38.688244+07:00', 'updated_at': '2024-11-16T21:22:38.688244+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/salad.png'}",10,1,48,False,[],2c73d3b5-243d-4945-a947-542b81afe5df,False
0171b354-75c6-4603-b25c-6de8afd5e6fc,Banh Mi involve success,82.91,11.55,http://127.0.0.1:8000/images/food/banh_mi/1377451.jpg,2.5,Person chair character matter too society area street. Rich board fish. Leave financial PM project.,"{'id': 'aed66dc0-bc55-438a-93bd-25005b207d5c', 'name': 'Banh Mi', 'description': 'workerDemocrat human push money care describe. Recognize if less positive modern cut anyone.', 'created_at': '2024-11-16T21:22:38.719489+07:00', 'updated_at': '2024-11-16T21:22:38.719489+07:00', 'image': 'http://127.0.0.1:8000/images/food/category/banh_mi.png'}",10,37,48,False,[],edbc476b-edb2-4290-91e2-5a363d82cf76,False
