id,name,description,created_at,updated_at,image
aed66dc0-bc55-438a-93bd-25005b207d5c,Banh Mi,workerDemocrat human push money care describe. Recognize if less positive modern cut anyone.,2024-11-16T21:22:38.719489+07:00,2024-11-16T21:22:38.719489+07:00,http://127.0.0.1:8000/images/food/category/banh_mi.png
dc421162-4b40-451a-a6b1-34d96b5a06bf,Burger,"littleRealize big thank option.
Upon home often of.
Thank red staff listen article. Eat run parent expert camera forget. Increase response item occur do author.",2024-11-16T21:22:38.688244+07:00,2024-11-16T21:22:38.688244+07:00,http://127.0.0.1:8000/images/food/category/burger.png
af27cf31-c2ef-4381-aa9b-b58eb0372702,Burrito,everyAlmost floor former. Build nothing note become school design. Newspaper use culture send character.,2024-11-16T21:22:38.688244+07:00,2024-11-16T21:22:38.688244+07:00,http://127.0.0.1:8000/images/food/category/burrito.png
69fcdd38-f5a5-4043-bf7e-a677679563ad,Cookie,"outsideHouse guess easy score rather. Their cause country size. Cut attack alone popular nearly stop let.
Just drug subject hear. Perhaps necessary camera should your.",2024-11-16T21:22:38.719489+07:00,2024-11-16T21:22:38.719489+07:00,http://127.0.0.1:8000/images/food/category/cookie.png
a5a2228b-6313-41e2-9a91-b69e36782634,Donut,"placeReal should candidate me show material. Race focus sit pressure get.
Thank mind figure development. Officer become none late.
At city tax within election capital.",2024-11-16T21:22:38.688244+07:00,2024-11-16T21:22:38.688244+07:00,http://127.0.0.1:8000/images/food/category/donut.png
ed6014c5-d44f-4155-9fe8-0bef9f7dc2ce,Drink,"adultHow crime should agent. Majority often political if minute.
Require suffer last provide.
Cut card smile run important consumer move. Send will two child budget option among. Where market check would.",2024-11-16T21:22:38.688244+07:00,2024-11-16T21:22:38.688244+07:00,http://127.0.0.1:8000/images/food/category/drink.png
2ef22e08-9d47-4421-94e5-741cc6e6833c,Dumpling,"leaveCampaign great woman clearly send. Defense last far fast black attention make. Section detail air.
Ability institution again. Rule value east wonder material drop determine. Old movement money Mr.",2024-11-16T21:22:38.719489+07:00,2024-11-16T21:22:38.719489+07:00,http://127.0.0.1:8000/images/food/category/dumpling.png
7af89abd-e5cb-4448-bd30-5d62f7f0629d,Fruit,talkHot left option rest care article sound. Institution travel hit seat.,2024-11-16T21:22:38.703868+07:00,2024-11-16T21:22:38.703868+07:00,http://127.0.0.1:8000/images/food/category/fruit.png
7904988d-a987-4fc7-8e5f-56f2b91afe0c,Goi Cuon,"hereInclude scientist race how one either lawyer. Image exist identify if nothing successful. Step early nation assume.
Art entire information. Return outside impact.",2024-11-16T21:22:38.719489+07:00,2024-11-16T21:22:38.719489+07:00,http://127.0.0.1:8000/images/food/category/goi_cuon.png
0b19cb3e-fb28-4fdb-a9e3-b05762808b7e,Hot Dog,"oilAlso fact mention avoid result. Speak sometimes he cost strategy lawyer.
Perform successful agreement increase effort each stay. Despite discussion model national.",2024-11-16T21:22:38.719489+07:00,2024-11-16T21:22:38.719489+07:00,http://127.0.0.1:8000/images/food/category/hot_dog.png
b69ab059-3281-4873-bc8d-a258c399fb65,Ice Cream,gasFeeling toward realize sense. Cause up culture response animal red sit. Beautiful wife baby individual often resource which.,2024-11-16T21:22:38.703868+07:00,2024-11-16T21:22:38.703868+07:00,http://127.0.0.1:8000/images/food/category/ice_cream.png
ec3c7366-2467-4da5-85cf-0fa337241bf8,Pasta,"nowActually watch yeah report huge ability. Quickly century marriage never material.
Huge see nature college grow issue new. Explain fear clearly either. Benefit apply physical spring.",2024-11-16T21:22:38.703868+07:00,2024-11-16T21:22:38.703868+07:00,http://127.0.0.1:8000/images/food/category/pasta.png
fa3850f1-a668-4628-b3a9-335b00f9abc4,Pho,"questionAlong month above similar.
Put draw end best moment different technology. Expert staff occur after. Write low together with yard.",2024-11-16T21:22:38.703868+07:00,2024-11-16T21:22:38.703868+07:00,http://127.0.0.1:8000/images/food/category/pho.png
d64b7327-08ed-4366-89d7-4f2cb2b9bb8e,Pizza,fiveBig worker eight. Already approach institution high rather. As send continue military adult likely. Report miss deep raise call cost our.,2024-11-16T21:22:38.688244+07:00,2024-11-16T21:22:38.688244+07:00,http://127.0.0.1:8000/images/food/category/pizza.png
910e6ad6-8002-4863-8944-9e12638caf7f,Pudding,"majorityDeal early cold involve necessary recognize.
Cover me half.
Few card operation improve baby whatever. She this sister herself paper commercial debate.",2024-11-16T21:22:38.719489+07:00,2024-11-16T21:22:38.719489+07:00,http://127.0.0.1:8000/images/food/category/pudding.png
9c4f74e1-5ee7-43c1-816a-87a67739d7ce,Rice,"growNotice argue charge. Wide business partner two fish. Simple ago health.
Newspaper condition college grow challenge my week. Section threat major yard.",2024-11-16T21:22:38.703868+07:00,2024-11-16T21:22:38.703868+07:00,http://127.0.0.1:8000/images/food/category/rice.png
b6c935ae-beeb-4adc-87a9-bb3aa397d09c,Salad,"agreeChair whole try sure personal. Fill run scene involve.
Everything media phone morning north choice. Loss away next surface class leave. Continue address military office according leader box.",2024-11-16T21:22:38.688244+07:00,2024-11-16T21:22:38.688244+07:00,http://127.0.0.1:8000/images/food/category/salad.png
1c8f375a-2dc4-4a70-8c36-57029152a4ae,Sandwich,"machineKid rule may. Lawyer expect guy any region model. Heart understand several line senior.
Budget whom difficult certainly adult song apply. Own feel during miss write table ball.",2024-11-16T21:22:38.703868+07:00,2024-11-16T21:22:38.703868+07:00,http://127.0.0.1:8000/images/food/category/sandwich.png
ac80c708-564a-45b6-a801-401723b17dbb,Taco,"largeSerious national describe catch final growth imagine.
We player make candidate visit fight worker. Occur chance medical tax eye. Eye response son democratic girl recently.",2024-11-16T21:22:38.688244+07:00,2024-11-16T21:22:38.688244+07:00,http://127.0.0.1:8000/images/food/category/taco.png
dfb16b0c-79d3-4c4b-a72b-0393bd43d503,Takoyaki,"representWide common which half. Bed them party most. Station when through heart citizen cut.
Establish concern themselves. Reduce grow throughout professor film far treat.",2024-11-16T21:22:38.703868+07:00,2024-11-16T21:22:38.703868+07:00,http://127.0.0.1:8000/images/food/category/takoyaki.png
